Protocolo da Solicitação,Código da Unidade Consumidora,Status Atual,Data de Ingresso
2601275928,7022014310,Em Análise Técnica,28/01/2026
2601265569,4007385094,Em Análise Técnica,26/01/2026
2601265479,7056599066,Em Análise Técnica,26/01/2026
2601265441,2223929012,Em Análise Técnica,26/01/2026
2601214411,7065057900,Aguardando solicitação de vistoria e Conexão,21/01/2026
2601101713,7064855055,Solicitação Concluída,10/01/2026
2601091574,7046547092,Realizando vistoria e Conexão,09/01/2026
2601060660,481152020,Aguardando solicitação de vistoria e Conexão,06/01/2026
2512228220,7003766939,Aguardando solicitação de vistoria e Conexão,22/12/2025
2512228145,4002711740,Aguardando solicitação de vistoria e Conexão,22/12/2025
2512197905,7064557119,Aguardando solicitação de vistoria e Conexão,19/12/2025
2512167094,7064386101,Aguardando solicitação de vistoria e Conexão,16/12/2025
2512054808,7044644082,Realizando vistoria e Conexão,15/12/2025
2512044430,7059537371,Solicitação Concluída,04/12/2025
2512034269,7064203490,Solicitação Concluída,03/12/2025
2512023866,7046308292,Solicitação Concluída,03/12/2025
2512023834,7052938877,Solicitação Concluída,02/12/2025
2511262688,7001053340,Solicitação Concluída,26/11/2025
2511242246,7045335016,Solicitação Concluída,24/11/2025
2511181287,7056300117,Solicitação Concluída,18/11/2025
2511119955,7063657756,Solicitação Concluída,11/11/2025
2511109808,7038870283,Solicitação Concluída,10/11/2025
2510236734,7062920364,Solicitação Concluída,28/10/2025
2510226459,7063404645,Solicitação Concluída,22/10/2025
2510084350,7062429814,Solicitação Concluída,08/10/2025
2510063851,1422177023,Solicitação Concluída,08/10/2025
2510013161,7062214583,Solicitação Concluída,06/10/2025
2509231600,7062276236,Solicitação Concluída,24/09/2025
2509150221,7062818403,Solicitação Concluída,16/09/2025
2509129876,7059387990,Solicitação Concluída,12/09/2025
2509109559,7041473848,Solicitação Concluída,10/09/2025
2509017843,7005645837,Solicitação Concluída,01/09/2025
2508083779,7062123332,Solicitação Concluída,09/08/2025
2507302225,4002279091,Solicitação Concluída,05/08/2025
2507261565,7056304600,Solicitação Concluída,28/07/2025
2507180293,7061016230,Solicitação Concluída,23/07/2025
2507109007,2510231018,Solicitação Concluída,10/07/2025
2506277000,4009517230,Solicitação Concluída,27/06/2025
2506266762,7037990366,Solicitação Concluída,26/06/2025
2506063905,7061109557,Solicitação Concluída,06/06/2025
2506033180,7060212788,Aguardando solicitação de vistoria e Conexão,09/06/2025
2505292319,7060926373,Reprovada na Análise Técnica,09/06/2025
2505210699,7022681146,Solicitação Concluída,22/05/2025
2505160029,7060680773,Solicitação Concluída,16/05/2025
2505129124,4010004441,Solicitação Concluída,13/05/2025
2505027644,7059783062,Solicitação Concluída,23/09/2025
2504297024,7060278460,Solicitação Concluída,29/04/2025
2504246305,7040017717,Solicitação Concluída,02/05/2025
2504225912,7060286145,Solicitação Concluída,23/04/2025
2504022952,7038095085,Solicitação Concluída,09/04/2025
2504022899,7055632418,Solicitação Concluída,14/04/2025
2503271968,7004025576,Solicitação Concluída,28/03/2025
2503200725,7059704073,Solicitação Concluída,21/03/2025
2503118899,7059429250,Solicitação Concluída,12/03/2025
2503108793,7010938435,Solicitação Concluída,11/03/2025
2502246978,7036038343,Solicitação Concluída,26/02/2025
2502226699,7059296820,Solicitação Concluída,25/02/2025
2502134978,7058718445,Solicitação Concluída,17/02/2025
2502134928,7059008352,Solicitação Concluída,17/02/2025
2502114554,7058355679,Solicitação Concluída,13/02/2025
2502053402,4009754674,Solicitação Concluída,06/02/2025
2412121825,7058205294,Solicitação Concluída,13/12/2024
2412111600,7037351240,Solicitação Concluída,13/12/2024
2412060519,7023936687,Solicitação Concluída,09/12/2024
2412060475,7058097521,Solicitação Concluída,09/12/2024
2411299259," 7057996859",Solicitação Concluída,02/12/2024
2411268332,7057436993,Solicitação Concluída,02/12/2024
2411207234,7041352820,Solicitação Concluída,22/11/2024
2411146508,1144247023,Solicitação Concluída,19/11/2024
2411125981,7056029170,Solicitação Concluída,13/11/2024
2411075174,1426532014,Solicitação Concluída,08/11/2024
2410293290,7045001673,Aguardando Documentação,
2409167175,7047482601,Solicitação Concluída,16/09/2024
2409116427,7056577402,Solicitação Concluída,11/09/2024
2409035368,7043978440,Solicitação Concluída,04/09/2024
2409035353,7027386797,Solicitação Concluída,03/09/2024
2409035339,7056312506,Solicitação Concluída,03/09/2024
2408264201,7031528490,Solicitação Concluída,26/08/2024
2408183063,7001163480,Solicitação Concluída,18/08/2024
2408183061,698430010,Solicitação Concluída,19/08/2024
2408071546,007055962744,Aguardando solicitação de vistoria e Conexão,08/08/2024
2408061389,7055989049,Solicitação Concluída,08/08/2024
2408061383,7021630289,Solicitação Concluída,08/08/2024
2408061337,7055907875,Solicitação Concluída,06/08/2024
2407199265,7055836587,Solicitação Concluída,19/07/2024
2407087540,7055059130,Solicitação Cancelada,08/07/2024
2406286169,7053977140,Solicitação Concluída,01/07/2024
2406215197,696336032,Solicitação Concluída,21/06/2024
2406123659,7012467359,Solicitação Concluída,13/06/2024
2406113563,7012465542,Solicitação Concluída,11/06/2024
2406073128,7025556539,Solicitação Concluída,07/06/2024
2405301749,7054564044,Aguardando solicitação de vistoria e Conexão,30/05/2024
2405169410,7025556539,Reprovada na Análise Técnica,16/05/2024
